"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FKBP2",2.78402725089779e-293,1.10879262324387,0.749,0.232,4.60422426753477e-289,"2","FKBP2"
"SEC11C",1.15015170731534e-292,1.30588639964924,0.752,0.248,1.90212089355811e-288,"2","SEC11C"
"SDF2L1",5.62828050962448e-292,1.04643825960457,0.66,0.158,9.30805030681697e-288,"2","SDF2L1"
"VIMP",2.0086343656373e-289,0.942529742055919,0.661,0.164,3.32187951389097e-285,"2","VIMP"
"IL32",2.61893955977769e-286,1.59650019183959,0.595,0.143,4.33120224396034e-282,"2","IL32"
"LINC00152",2.81089068050444e-284,0.881769547233358,0.536,0.099,4.64865100741824e-280,"2","LINC00152"
"CD3E",1.34071936564412e-267,0.702258768315406,0.377,0.041,2.21728168690224e-263,"2","CD3E"
"HSP90B1",2.4789375994486e-267,1.51400592588952,0.792,0.31,4.09966700196809e-263,"2","HSP90B1"
"SPCS3",1.64178965665601e-265,0.856698226578712,0.64,0.165,2.7151917341777e-261,"2","SPCS3"
"GZMA",1.05899733219691e-254,1.29390380678036,0.483,0.092,1.75136978798724e-250,"2","GZMA"
"CD3G",1.64270780658023e-254,0.607415985246802,0.341,0.033,2.71671017052238e-250,"2","CD3G"
"CD38",3.02604614930667e-249,0.668909199952896,0.389,0.05,5.00447512172338e-245,"2","CD38"
"SSR3",1.67828691617886e-248,0.999664308733281,0.692,0.228,2.77555090197661e-244,"2","SSR3"
"CST7",6.21899453394742e-245,0.680252259136072,0.371,0.045,1.02849731602422e-240,"2","CST7"
"JSRP1",4.90973477654171e-233,0.699806616282155,0.323,0.032,8.11971937344468e-229,"2","JSRP1"
"SRGN",2.17224954890954e-224,1.22529339808293,0.843,0.418,3.5924663039866e-220,"2","SRGN"
"CADM1",2.83016585822351e-224,0.464692173731072,0.285,0.023,4.68052829633005e-220,"2","CADM1"
"RRBP1",5.96813113094136e-224,0.544826128560043,0.37,0.05,9.87009526435082e-220,"2","RRBP1"
"NKG7",1.94831943621075e-223,1.22013286824787,0.417,0.073,3.22213068360535e-219,"2","NKG7"
"PRDM1",3.07802810845959e-223,0.518477785600017,0.356,0.045,5.09044288577047e-219,"2","PRDM1"
